CNTRYID,CNTSCHID,STUBEHA,SCMCEG,TEACHBEHA,W_FSTUWT_SCH_SUM
36,3600001,,,,383.92578
36,3600002,0.7698,-1.4469,-0.7733,131.00396
36,3600003,1.4565,0.3009,1.4533,216.96746
36,3600004,-0.6983,-0.6263,0.6101,126.62171
36,3600005,-0.5654,0.9042,-0.4007,124.42562
36,3600006,-1.1401,-0.6263,-0.3913,449.51454
36,3600007,0.1795,-1.0542,0.8378,329.69885
36,3600008,-0.0384,0.9042,0.1842,127.53499
36,3600009,0.5222,0.8614,-0.9033,190.25251
36,3600010,-0.335,-0.7191,-1.2356,502.466
36,3600011,1.1372,0.287,0.3593,201.85242
36,3600012,0.1795,-1.4469,0.83,113.21393
36,3600013,0.4651,0.9042,0.7185,301.61556
36,3600014,2.7144,-1.0542,1.9937,440.40279
36,3600015,0.1795,-1.4469,1.2271,317.88779
36,3600016,-3.3785,0.9042,-0.5111,491.37938
36,3600017,-0.0384,-0.1661,0.2266,388.88441
36,3600018,1.2848,-1.0542,-0.0452,323.70784
36,3600019,1.2237,-2.436,1.8765,94.36279
36,3600020,-0.0384,-0.2798,1.7211,493.68667
36,3600021,,,,529.97333
36,3600022,1.2033,-1.0542,1.897,308.39774
36,3600023,0.8153,-2.0884,1.6642,167.96064
36,3600024,-0.5335,0.9042,0.2266,251.36273
36,3600025,1.0465,-1.0542,-0.1662,49.01218
36,3600026,1.3737,-2.436,0.9355,377.28432
36,3600027,-0.0468,-0.1661,1.1913,418.42624
36,3600028,,,,402.77853
36,3600029,-1.5397,0.9042,-0.5205,167.77986
36,3600030,-1.5397,0.9042,-2.0409,880.14976
36,3600031,0.8944,-0.1764,-0.1791,344.05613
36,3600032,0.2283,0.9042,0.2266,261.0499
36,3600033,0.1795,-1.0542,0.3593,382.57389
36,3600034,,,,465.85937
36,3600035,1.5948,0.9042,-0.8267,180.79952
36,3600036,0.4282,0.9042,-0.8267,154.11875
36,3600037,0.1795,0.9042,-0.0452,308.91723
36,3600038,1.1622,-0.1764,0.6015,628.0897
36,3600039,-0.4097,0.9042,0.9028,467.65485
36,3600040,0.8944,-1.0542,0.9028,557.04696
36,3600041,-0.0384,-0.1661,0.6101,156.89943
36,3600042,0.6764,0.1571,0.2397,542.09622
36,3600043,-0.0384,0.3009,0.2266,144.69599
36,3600044,-0.0384,-0.5083,0.2266,250.7998
36,3600045,-0.0956,-1.0693,1.1337,586.97577
36,3600046,0.4781,-1.0542,-0.1662,498.49654
36,3600047,0.4781,0.9042,1.4533,384.76629
36,3600048,-0.0384,0.9042,-0.1791,105.20636
36,3600049,1.0477,0.9042,1.2182,88.06921
36,3600050,0.1795,0.9042,-0.1662,421.37708
36,3600051,0.5094,0.9042,-0.1791,695.27452
36,3600052,-0.0956,0.9042,1.6299,545.03812
36,3600053,,,,500.63976
36,3600054,-0.0384,0.9042,0.2266,254.07948
36,3600055,-0.3925,0.9042,0.9355,559.63172
36,3600056,-0.7359,0.3009,0.1744,304.83
36,3600057,-0.0384,0.9042,0.2266,210.3817
36,3600058,0.1795,0.9042,0.2266,420.51554
36,3600059,-1.1401,0.9042,-0.4289,38.46497
36,3600060,1.2343,-0.6263,1.0074,414.64737
36,3600061,1.0522,-1.7481,0.6101,80.32002
36,3600062,0.4147,-0.1764,0.1744,188.89203
36,3600063,-3.3785,-1.4581,0.8352,180.95332
36,3600064,1.4233,0.9042,-0.137,171.50869
36,3600065,0.747,-0.5083,0.6015,421.20449
36,3600066,-0.6199,0.9042,-0.4415,539.71171
36,3600067,-2.0719,0.9042,-0.5488,43.59693
